,group1_members1,group1_members2,group1_members3,group1_members4,group2_members1,group2_members2,group2_members3,group2_members4,group3_members1,group3_members2,group3_members3,group3_members4,group4_members1,group4_members2,group4_members3,group4_members4
0,sleet,hail,snow,rain,shift,mom,option,racecar,jazz,heat,nets,kayak,level,return,bucks,tab
1,pump,boot,sneaker,loafer,time,mile,league,yard,sea,us,why,are,people,queue,foot,essence
2,mouth,pit,cheek,stooge,scarf,gobble,nose,lab,wolf,pom,tenor,amigo,king,peke,chow,eye
3,puma,adidas,nike,cats,sweep,dust,vacuum,mop,carousel,cabaret,chicago,super,spider,bat,reebok,iron
4,peacock,plum,scarlet,green,glum,hulu,netflix,prime,relish,mayo,mustard,ketchup,blue,tartar,low,down
5,go,boardwalk,midnight,sea,ice cube,powder,q-tip,sin,sister,jail,royal,future,chance,wonder,baby,common
6,shin,john,ankle,silver,joey,cub,thigh,can,kid,throne,star,knee,cray,jelly,head,calf
7,chess,queen,king,checkers,ruby,go,cherry,twin,locksmith,stop sign,piano,cryptography,florida,fire truck,full,backgammon
8,polo,tank,halter,tee,corn,squash,beet,onion,cricket,fencing,ant,beetle,mantis,termite,carrot,cami
9,lemon,orange,kiwi,grapefruit,jordan,georgia,turkey,chad,swallow,crane,togo,fish,scales,goat,jay,turkey
10,coriander,bird,cardamom,posh,sugar,honey,cumin,airplane,sweetie,pegasus,scary,baby,clove,ginger,angel,boo
11,pod,flock,school,pack,snail,loris,sloth,cot,sin,lust,pride,envy,greed,tan,sec,tortoise
12,united,new,frontier,gnocchi,delta,iota,chi,beta,virgin,gnome,spirit,gnu,gnat,knew,gnaw,nu
13,murphy,bunk,mario,pilot,warner,marx,sonic,jonas,passport,trundle,accord,civic,crash,link,canopy,wright
14,cluck,caw,tweet,chirp,rod,silver,turquoise,pink,lure,tackle,sparrow,jones,hook,reel,brown,caw
15,espresso,kelly,americano,latte,pecan,cashew,walnut,olive,fox,emerald,bean,clean,almond,peanut,forest,olive
16,scarf,ascot,tie,love,starboard,port,stern,tide,bolo,acute,bermuda,era,all,right,bow,gain
17,quad,brown,ribbon,trophy,howser,lat,grey,quinn,commander,pec,bear,bill,house,cup,medal,tri
18,ivory,cream,eggshell,poultry,mirror,spat,tiff,row,garlic,venison,pork,beef,quarrel,stake,crucifix,vanilla
19,rye,howard,barley,lee,king,earl,spelt,brown,prince,rice,stone,oat,bong,ford,duke,baron
20,punk,jo,jazz,kim,opera,edge,rap,amy,safari,meg,wayne,pop,baby,jon,beth,chrome
21,husky,boxer,poodle,dalmatian,stop,bite,yield,wave,snout,muzzle,trunk,beak,detour,barrier,slow,asleep
22,byrd,vogue,beach boy,monkee,sausage,mashed potato,macarena,fortune,twist,wired,website,beatle,chain,golf course,rolling stone,dougie
23,heath,switch,wii,u,hammer,anvil,crunch,blink,bounty,genesis,milky way,maroon,sum,stirrup,cochlea,dreamcast
24,mousse,cheesecake,fudge,tiramisu,pencil,heck,shoot,darn,narwhal,elephant,warthog,hippo,walrus,horseshoe,handlebar,flan
25,poland,denmark,portugal,holland,petty,mild,mimic,echo,cruise,parrot,waits,mix,dill,livid,copy,greece
26,fedora,page,beret,pot,liver,kidney,lung,spine,rabbit,bowler,ass,knife,jacket,cover,heart,page
27,grumpy,bashful,tiff,happy,ostrich,emu,penguin,zip,mango,pineapple,banana,coconut,pdf,doc,kiwi,gif
28,moth,skate,fly,wasp,copy,multiply,divide,subtract,sole,lap,alley,cool,tang,tetra,gnat,add
29,packer,shoulder,elbow,hip,bronco,oklahoma,raven,cowboy,shell,spiral,wrist,knee,them,mother,bowtie,airplane
30,"['pepper', 'phone', 'mobile', 'mac']","['cucumber', 'tomato', 'eggplant', 'lima']","['pyramid', 'cube', 'sphere', 'pod']","['polish', 'job', 'pad', 'cone']",,,,,,,,,,,,
31,sole,heel,duckie,lace,ryan,sorry,risk,trouble,tongue,bond,smart,soul,cement,hunt,clue,band
32,tug,ferry,yacht,sub,round,cuban,flank,shank,rob,chuck,josh,loin,melt,sue,junk,club
33,fragrance,aroma,scent,funk,scissors,paper,jack,boar,bull,buck,boar,rock,country,soul,shoot,blues
34,penny,dime,quarter,nickel,moon,neck,rainbow,horseshoe,tin,lead,zinc,iron,clover,so,again,half
35,wallaby,kangaroo,mole rat,wombat,paper,mars,stacks,dough,crunch,cheddar,mounds,eye,truth,gun,koala,chunky
36,otter,dolphin,seal,hawk,peddle,saddle,chain,spoke,malt,vend,tong,chin,cub,move,brake,manatee
37,maple,ash,pine,cedar,plain,plateau,mountain,valley,poppy,sesame,elm,onion,jump,fear,hill,everything
38,sundial,newton,clock,watch,pixie,crop,hertz,second,pepper,bob,evil,mole,no,j,shag,hourglass
39,flute,bassoon,oboe,clarinet,wayfarer,hooded,aviator,monk,lid,cover,top,wraparound,harp,harbor,cat eye,cap
40,fiji,malta,cuba,sam,java,pop,evian,lucky,dasani,voss,mud,tony,joe,palau,japan,brew
41,"['snorkel', 'fins', 'mask', 'jungle']","['race', 'sprint', 'dash', 'fat']","['house', 'tank', 'bolt', 'period']","['comma', 'colon', 'doja', 'snorkel']",,,,,,,,,,,,
42,irate,furious,livid,incensed,pelican,canary,booby,gull,hardy,school bus,beach,beastie,sunflower,banana,lost,puffin
43,plasma,gas,liquid,tesla,shellac,paste,cut,crush,stale,undo,trash,least,solid,slate,rout,copy
44,plane,boat,train,car,sonic,sabbath,thunder,day,magic,checkers,stripes,king,floyd,outback,subway,sun
45,philadelphia,chicago,manhattan,rio,squall,blizzard,w,tornado,glamour,elle,allure,cosmopolitan,screwdriver,munich,hurricane,cyclone
46,grassland,tree,desert,go,iguana,gecko,cobra,monitor,warrior,nae,forest,can,cha,lotus,chameleon,grassland
47,linen,rib,corduroy,scar,specter,phantom,spirit,tease,needle,stitch,denim,poke,beast,genie,ghost,specter
48,mother,aunt,cousin,grandmother,donald,quirky,kooky,wacky,cuckoo,dewey,scrooge,alarm,biological,daffy,nephew,daisy
49,mile,foot,yard,inch,samosa,falafel,schnitzel,katsu,pen,tempera,oil,watercolor,dim,nick,quart,acrylic
50,"['grinder', 'blade', 'match', 'tinder']","['near dark', 'twilight', 'west', 'scott']","['hero', 'lost boys', 'bumble', 'ant']","['sub', 'hoagie', 'driver', 'hinge']",,,,,,,,,,,,
51,mouse,keyboard,rat,hamster,organ,speaker,harp,monitor,grouse,vole,carp,gripe,horn,moan,triangle,gerbil
52,pride,colony,family,high,blazed,swarm,herd,order,bio,lit,stats,class,domain,chem,baked,gov
53,"['shrine', 'altar', 'temple', 'abbey']","['rocky', 'sylvester', 'calvin', 'felix']","['garfield', 'tom', 'harry', 'chester']",['silk'],,,,,,,,,,,,
54,top,puck,blocks,hockey,memory,giggle,eggnog,yo-yo,duncan,leggings,viola,selfie,doll,fish,juliet,baggage
55,"['frogger', 'pac', 'pong', 'breakout']","['swipe', 'pinch', 'tap', 'swing']","['asteroids', 'salsa', 'savage', 'chainz']",['cent'],,,,,,,,,,,,
56,romance,kiss,western,tale,lie,fib,paisley,houndstooth,horror,stripes,whopper,fiction,plaid,dot,goober,musical
57,spider,mite,tick,black widow,flash,jackass,shark,storm,perch,eel,catfish,cribs,blade,char,state,scorpion
58,pair,moon,planet,sun,several,few,some,handful,asteroid,comet,globe,journal,lyme,mellon,plumb,
59,saw,pendant,ring,anklet,please,delight,field,court,purge,charm,brooch,diamond,scream,tickle,rink,bangle
60,hawking,einstein,oppenheimer,feynman,crikey,barbie,gift,mate,selling,flair,bush,faculty,west,match,moot,selling
61,me,pi,co,na,la,fa,pa,mu,ti,xi,ni,ma,fe,he,nu,do
62,snap,plank,buckle,zip,obvious,nothing,nada,curl,squat,press,planet,button,crunch,kangaroo,lunge,jack
63,rover,fly,fido,chum,shirt,observe,notice,see,bait,sinker,storm,lucky,bone,rex,catch,return
64,plasma,fire,gas,air,tree,steam,spirit,vigor,solid,liquid,water,juice,wedding,circus,saturn,earth
65,millennium,century,decade,year,pancake,omelet,waffle,bacon,whistler,rose,juror,close,,,,
66,pie,fudge,cake,tart,miller,mason,smith,cobbler,one,distort,twist,root,dance,meal,doctor,fisher
67,"['pint', 'cup', 'quart', 'gallon']","['sterling', 'pound', 'real', 'awful']","['super', 'quite', 'very', 'won']","['carrot', 'coffee', 'sponge', 'rand']",,,,,,,,,,,,
68,mate,slide,bud,mary jane,skillet,pot,clog,wok,wedge,weed,grass,herb,chum,pump,crock,pal
69,sleeping bag,tent,camper,lantern,small,medium,large,wee,cooler,meal,jab,diss,dig,slight,barb,hour
70,nevada,arizona,utah,colorado,rush,soprano,sprite,squirt,mug,hawk,stark,crush,genesis,kansas,yes,montana
71,singer,actor,stand-up,dancer,heart,cupid,rose,taste,santa,dasher,boys,lieutenant,card,chocolate,vixen,comet
72,mustache,beard,stubble,goatee,tail,pedal,handlebar,wheel,shadow,dog,track,doubt,vote,movie,follow,gear
73,mastodon,outfit,duds,flops,dodo,trilobite,mammoth,x,smooch,misses,peck,smack,getup,busts,threads,turkeys
74,party,bash,shindig,blowout,whale,island,range,sink,mixer,puppet,counter,woodcarver,bunny,egg,cricket,sunday
75,taboo,nike,risk,killer,opinion,national,trouble,atlas,style,paris,notorious,sorry,foxy,gucci,hermes,business
76,tender,snare,breast,swimming,hole,eagle,wing,cymbal,stroke,tom,ticker,drumstick,infant,pub,kick,driver
77,heaven,bliss,paradise,cloud nine,shake,hustle,fast one,high five,top ten,racket,bucket,guest,wish,hug,con,wave
78,run,onyx,lynx,raven,book,cyber,ibex,ash,split,ebony,fat,jet,bounce,black,fox,bounce
79,slide,sway,swing,seesaw,eye,papyrus,ankh,scarab,sandbox,pull,weight,times,courier,impact,crook,clout
80,popper,nick,wing,chip,fry,flap,right,correct,yes,scratch,lumber,nacho,apple,cracker,ding,bingo
81,tumbler,goblet,coffee,olds,oboe,flute,saxophone,bishop,stein,pound,fricassee,snifter,balloon,bassoon,frost,clarinet
82,nude,sack,bare,unclad,muffin,danish,fumble,turnover,snap,polish,buff,clip,punt,bun,file,naked
83,hen,cow,mare,ewe,yew,they,it,we,d,u,l,i,m,v,doe,you
84,easel,brush,park,palette,saw,comb,lawn,folding,high,neutral,first,gear,reverse,zipper,drive,canvas
85,graph,chart,map,diagram,stuffing,icing,extra,gravy,montero,perk,turkey,satisfaction,istanbul,pie,bonus,i ran
86,ogre,gnome,troll,goblin,petal,leaf,stalk,bud,rabbit,tiger,horse,mole,agent,spy,goblin,dragon
87,rocky,sally,max,roger,horror,rabbit,show,harry,who,when,road,picture,fury,mad,met,framed
88,"['spirit', 'essence', 'soul', 'brave']","['coco', 'sake', 'port', 'stout']","['ticker', 'heart', 'demo', 'red']","['cars', 'cider', 'up', 'scotch']",,,,,,,,,,,,
89,safe,ball,walk,colonel,flounder,carp,salmon,catfish,kiln,furnace,oven,forge,strike,smelt,yolk,out
90,jaguar,lion,capybara,anaconda,hair,foot,bottom,legs,toucan,company,foundation,rent,cucumber,grease,change,base
91,pumpkin,bell,bat,2001,firefly,bones,tombstone,7,weeds,cherry,"20,000",cobweb,bar,22,451,24
92,coffee,chai,tea,cocoa,root,scoop,bark,trunk,meow,cluck,oink,buzz,dish,branch,dirt,skinny
93,leave,get out,scram,us,peon,nepo,pone,santa,them,you,go,me,beanie,fur,open,nope
94,pupil,iris,lens,retina,over,phony,fake,sham,michelle,roger,stan,alejandro,lola,copy,out,bogus
95,goat,buffalo,sheep,cow,rings,excel,glow,shine,radiate,floor,vault,seedy,cutie,envy,horse,beam
96,witch,giant,queen,wolf,pigpen,mate,charlie,woodstock,rock 'n roll,gambit,peppermint patty,bishop,new york,princess,lucy,you
97,grape,apricot,lime,fig,stone,lavish,grand,opulent,naive,envious,unwell,fresh,foster,deluxe,swank,berry
98,quick,outlaw,bright,rogers,southwest,frontier,sharp,cowboy,spirit,sheriff,smart,clever,lasso,mars,drifter,alaska
99,tab,bookmark,window,link,relation,collar,pocket,tie,laundry,cuff,martini,history,bond,dozen,joke,button
