,group1_members1,group1_members2,group1_members3,group1_members4,group2_members1,group2_members2,group2_members3,group2_members4,group3_members1,group3_members2,group3_members3,group3_members4,group4_members1,group4_members2,group4_members3,group4_members4,group1_name,group2_name,group3_name,group4_name
0,sleet,shift,hail,snow,mom,jazz,heat,option,nets,tab,racecar,kayak,level,return,bucks,rain,,,,
1,boot,sneaker,loafer,foot,mile,league,yard,sea,pump,time,queue,essence,are,people,why,us,,,,
2,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,
4,peacock,plum,hulu,blue,glum,mayo,prime,low,scarlet,netflix,green,mustard,relish,tartar,hurts,ketchup,,,,
5,go,boardwalk,royal,sea,ice cube,powder,midnight,q-tip,sister,common,future,baby,chance,sin,hurts,jewel,,,,
6,john,joey,kid,can,shin,thigh,calf,knee,silver,cub,star,cray,ankle,head,jelly,throne,,,,
7,chess,queen,king,checkers,ruby,go,twin,cryptography,backgammon,locksmith,stop sign,piano,cherry,hurts,jewel,full,,,,
8,polo,tank,tee,halter,corn,squash,beet,onion,cricket,mantis,fencing,ant,termite,beetle,carrot,cami,,,,
9,,,,,,,,,,,,,,,,,,,,
10,bird,sweetie,angel,pegasus,coriander,cardamom,clove,ginger,baby,airplane,scary,boo,sugar,honey,cumin,posh,,,,
11,,,,,,,,,,,,,,,,,,,,
12,united,frontier,new,gnu,gnocchi,delta,chi,iota,virgin,gnat,nu,spirit,knew,gnaw,jewel,om,,,,
13,mario,warner,sonic,jonas,murphy,passport,bunk,pilot,accord,civic,crash,link,marx,trundle,canopy,wright,,,,
14,caw,chirp,tweet,cluck,jones,hook,reel,tackle,brown,pink,purple,turquoise,rod,silver,lure,caulk,,,,
15,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,
18,ivory,cream,eggsshell,poultry,mirror,row,tiff,quarrel,garlic,pork,beef,venison,crucifix,stake,spat,poultry,,,,
19,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,
21,husky,boxer,poodle,dalmatian,stop,bite,yield,wave,snout,muzzle,beak,trunk,detour,barrier,slow,asleep,,,,
22,vogue,byrd,beach boy,sausage,twist,wired,website,fortune,rolling stone,chain,golf course,beatle,dougie,mashed potato,macarena,monkee,,,,
23,return,switch,hammer,anvil,crunch,blink,u,return,wii,cochlea,genesis,milky way,heath,bounty,sum,dreamcast,,,,
24,mousse,cheesecake,tiramisu,flan,pencil,heck,shoot,darn,narwhal,elephant,warthog,hippo,fudge,horseshoe,handlebar,pencil,,,,
25,poland,denmark,portugal,greece,mimic,echo,waits,mix,petty,mild,livid,dill,parrot,cruise,jewel,om,,,,
26,fedora,fez,beret,page,liver,kidney,lung,spine,rabbit,bowler,ass,knife,jacket,heart,cover,pot,,,,
27,,,,,,,,,,,,,,,,,,,,
28,skate,fly,wasp,moth,copy,multiply,divide,subtract,lap,sole,alley,tetra,cool,tang,hurt,om,,,,
29,packer,shoulder,elbow,hip,bronco,oklahoma,raven,cowboy,shell,spiral,wrist,bowtie,mother,knee,them,airplane,,,,
30,,,,,,,,,,,,,,,,,,,,
31,sole,ryan,heel,duckie,sorry,risk,tongue,bond,trouble,smart,soul,lace,band,cement,hunt,clue,,,,
32,tug,ferry,yacht,sub,round,cuban,flank,loin,rob,sue,chuck,josh,melt,cuban,jewel,om,,,,
33,,,,,,,,,,,,,,,,,,,,
34,penny,nickel,dime,quarter,again,so,moon,neck,horseshoe,pin,tin,cylinder,iron,zinc,clover,lead,,,,
35,wallaby,kangaroo,mole rat,wombat,paper,crunch,stacks,dough,mars,truth,eye,gun,cheddar,mounds,chunky,return,,,,
36,otter,dolphin,seal,hawk,peddle,vend,spoke,move,saddle,chain,spoke,chin,malt,cub,tong,brake,,,,
37,,,,,,,,,,,,,,,,,,,,
38,newton,clock,watch,hourglass,no,pixie,bob,evil,crop,pepper,mole,j,sundial,hertz,second,shag,,,,
39,flute,bassoon,oboe,clarinet,wayfarer,hooded,aviator,monk,lid,cover,top,wraparound,harbor,harp,cat eye,cap,,,,
40,,,,,,,,,,,,,,,,,,,,
41,race,sprint,dash,jungle,house,tank,bolt,mask,fins,snorkel,comma,period,fat,doja,colon,hurts,,,,
42,irate,furious,livid,incensed,pelican,canary,gull,sunflower,school bus,booby,beastie,banana,hardy,lost,beach,puffin,,,,
43,plasma,gas,liquid,stale,cut,rout,copy,undo,shellac,slate,tesla,paste,crush,hurts,jewel,om,,,,
44,plane,sonic,boat,train,sabbath,sun,magic,day,checkers,stripes,king,floyd,car,outback,thunder,subway,,,,
45,philadelphia,chicago,manhattan,rio,glamour,elle,allure,w,screwdriver,pin,spring,tumbler,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,
48,mother,aunt,cousin,nephew,quirky,kooky,wacky,dewey,donald,scrooge,grandfather,cuckoo,biological,alarm,daffy,dewey,,,,
49,mile,foot,yard,inch,pen,tempera,oil,acrylic,samosa,falafel,katsu,schnitzel,dim,nick,hurts,jewel,,,,
50,,,,,,,,,,,,,,,,,,,,
51,mouse,keyboard,rat,hamster,speaker,harp,triangle,monitor,organ,grouse,carp,horn,moan,gripe,gerbil,vole,,,,
52,pride,family,colony,gov,blazed,high,swarm,lit,bio,stats,order,class,baked,carrot,hurts,jewel,,,,
53,shrine,altar,temple,abbey,grover,sylvester,garfield,calvin,rocky,tom,harry,felix,silk,reliquary,high,chester,,,,
54,top,puck,hockey,baggage,blocks,memory,giggle,yo-yo,eggnog,duncan,leggings,viola,selfie,doll,fish,juliet,,,,
55,pac,pong,breakout,asteroids,swipe,tap,pinch,swing,cent,chainz,spread,hustle,frogger,salsa,savage,tango,,,,
56,,,,,,,,,,,,,,,,,,,,
57,spider,mite,tick,black widow,flash,shark,storm,state,perch,eel,blade,char,jackass,cribs,jewel,om,,,,
58,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,
60,hawking,einstein,oppenheimer,feynman,crikey,selling,mate,west,barbie,gift,match,faculty,flair,hurts,jewel,moot,,,,
61,me,la,fa,pa,pi,co,na,mu,la,xi,ti,ma,fe,he,nu,do,,,,
62,snap,curl,squat,lunge,plank,button,zip,crunch,buckle,obvious,nothing,nada,press,planet,kangaroo,jack,,,,
63,rover,fly,fido,chum,shirt,observe,notice,see,bait,sinker,storm,bone,lucky,rex,catch,return,,,,
64,plasma,fire,gas,steam,tree,vigor,wedding,earth,liquid,circus,saturn,juice,plasma,fire,water,air,,,,
65,century,millennium,decade,year,bacon,egg,pancake,waffle,close,juror,rose,whistler,cereal,munch,omlet,return,,,,
66,,,,,,,,,,,,,,,,,,,,
67,love,like,relish,savor,literally,rand,um,well,cylinder,pin,sponge,tumbler,carrot,hurts,jewel,won,,,,
68,mate,slide,bud,mary jane,skillet,pot,clog,wok,wedge,weed,grass,herb,pump,crock,chum,weed,,,,
69,sleeping bag,tent,camper,lantern,small,medium,large,wee,cooler,meal,jab,slight,diss,dig,barb,hour,,,,
70,soprano,rush,hawk,nevada,crush,yes,stark,sprite,mug,kansas,genesis,arizona,squirt,colorado,hurts,montana,,,,
71,singer,actor,stand-up,card,heart,love,taste,rose,dasher,santa,cupid,boys,chocolate,hurts,jewel,om,,,,
72,mustache,beard,shadow,goatee,tail,pedal,handlebar,track,dog,wheel,vote,doubt,movie,follow,gear,goatee,,,,
73,mastodon,outfit,dodo,smooch,misses,flops,trilobite,duds,turkeys,threads,x,mammoth,peck,smack,getup,busts,,,,
74,,,,,,,,,,,,,,,,,,,,
75,taboo,nike,risk,killer,opinion,national,trouble,atlas,style,paris,notorious,sorry,foxy,gucci,hermes,business,,,,
76,tender,breast,infant,pub,snare,wing,drumstick,kick,swimming,cymbal,stroke,tom,hole,eagle,driver,pub,,,,
77,heaven,bliss,paradise,cloud nine,shake,hustle,fast one,high five,racket,bucket,guest,hug,con,return,om,hurts,,,,
78,run,lynx,raven,fox,onyx,ebony,oryx,jet,book,cyber,split,fat,bounce,ash,black,hurts,,,,
79,slide,swing,seesaw,sandbox,eye,papyrus,weight,ankh,sway,pull,times,crook,papyrus,courier,impact,clout,,,,
80,,,,,,,,,,,,,,,,,,,,
81,tumbler,goblet,coffee,stein,olds,bishop,saxophone,fricassee,oboe,flute,bassoon,clarinet,pound,frost,balloon,snifter,,,,
82,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,
84,brush,comb,park,saw,canvas,drive,first,lawn,easel,folding,gear,high,neutral,palette,reverse,zipper,,,,
85,graph,chart,map,diagram,stuffing,icing,extra,pie,montero,perk,turkey,satisfaction,istanbul,gravy,jewel,om,,,,
86,love,relish,savour,fancy,like,literally,um,well,cylinder,pin,spring,tumbler,carrot,hurts,jewel,om,,,,
87,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,
89,safe,ball,walk,flounder,kiln,furnace,oven,forge,strike,colonel,smelt,yolk,carp,out,salmon,catfish,,,,
90,jaguar,lion,capybara,toucan,hair,legs,foot,bottom,company,foundation,rent,change,cucumber,grease,base,anaconda,,,,
91,pumpkin,bell,bat,2001,firefly,bones,tombstone,7,weeds,cherry,"20,000",cobweb,bar,24,451,22,,,,
92,coffee,chai,tea,cocoa,meow,cluck,bark,oink,root,scoop,branch,dish,skinny,dirt,buzz,trunk,,,,
93,leave,peon,get out,nepo,us,them,scram,nope,you,pone,santa,go,beanie,fur,open,me,,,,
94,pupil,iris,lens,retina,over,phony,fake,sham,michelle,roger,stan,alejandro,out,bogus,copy,return,,,,
95,,,,,,,,,,,,,,,,,,,,
96,witch,giant,queen,wolf,pigpen,charlie,new york,woodstock,gambit,mate,peppermint patty,bishop,rock 'n roll,hurt,jewel,om,,,,
97,lavish,opulent,swank,grand,grape,stone,apricot,lime,fresh,foster,deluxe,envious,naive,unwell,berry,fig,,,,
98,quick,outlaw,bright,rogers,southwest,frontier,sharp,cowboy,spirit,sheriff,smart,clever,lasso,mars,drifter,alaska,,,,
99,tab,relation,bookmark,history,cuff,collar,pocket,tie,window,bond,link,button,dozen,joke,carrot,hurts,,,,
