,group1_members1,group1_members2,group1_members3,group1_members4,group2_members1,group2_members2,group2_members3,group2_members4,group3_members1,group3_members2,group3_members3,group3_members4,group4_members1,group4_members2,group4_members3,group4_members4,group1_name,group2_name,group3_name,group4_name
0,sleet,shift,hail,snow,mom,jazz,option,nets,heat,racecar,kayak,level,return,bucks,tab,rain,,,,
1,pump,boot,sneaker,loafer,time,mile,league,yard,sea,us,are,queue,essence,why,people,foot,,,,
2,mouth,pit,cheek,stooge,scarf,gobble,nose,lab,wolf,pom,tenor,amigo,king,peke,chow,eye,,,,
3,puma,adidas,nike,spider,cats,carousel,dust,chicago,sweep,vacuum,mop,bat,iron,super,cabaret,reebok,,,,
4,peacock,plum,hulu,blue,glum,mayo,netflix,low,relish,tartar,scarlet,green,hulu,ketchup,mustard,down,,,,
5,go,boardwalk,royal,midnight,ice cube,powder,q-tip,future,sister,jail,common,baby,sin,chance,sea,wonder,,,,
6,shin,john,ankle,throne,joey,cub,can,kid,silver,star,cray,jelly,head,calf,thigh,knee,,,,
7,chess,queen,king,checkers,ruby,go,twin,cryptography,backgammon,locksmith,stop sign,piano,cherry,hurts,jewel,full,,,,
8,polo,cricket,tank,tee,corn,squash,beet,onion,halter,fencing,ant,beetle,corn,carrot,termite,cami,,,,
9,,,,,,,,,,,,,,,,,,,,
10,coriander,bird,cardamom,posh,sugar,honey,cumin,airplane,sweetie,pegasus,scary,baby,clove,ginger,angel,boo,,,,
11,pod,flock,school,pack,sin,lust,greed,pride,snail,loris,sloth,cot,tan,sec,envy,return,,,,
12,united,frontier,new,gnu,gnocchi,delta,chi,iota,virgin,gnat,nu,spirit,knew,gnaw,beta,gnome,,,,
13,murphy,mario,pilot,sonic,passport,bunk,warner,marx,trundle,accord,wright,civic,crash,link,canopy,jonas,,,,
14,cluck,caw,tweet,chirp,rod,silver,turquoise,pink,tackle,sparrow,hook,jones,lure,reel,brown,caw,,,,
15,espresso,kelly,americano,fox,pecan,cashew,latte,emerald,walnut,olive,peanut,bean,clean,forest,almond,horse,,,,
16,scarf,tie,ascot,love,gain,starboard,port,tide,all,stern,right,bolo,acute,bermuda,era,bow,,,,
17,brown,ribbon,trophy,medal,commander,house,bear,bill,lat,quinn,pec,tri,quad,howser,cup,grey,,,,
18,ivory,cream,eggshell,poultry,mirror,spat,tiff,row,garlic,pork,beef,venison,crucifix,quarrel,stake,poultry,,,,
19,,,,,,,,,,,,,,,,,,,,
20,punk,jazz,rap,amy,jo,kim,wayne,beth,opera,edge,safari,chrome,pop,baby,jon,meg,,,,
21,husky,boxer,poodle,dalmatian,stop,bite,yield,wave,snout,muzzle,beak,trunk,detour,barrier,slow,asleep,,,,
22,vogue,byrd,beach boy,sausage,twist,wired,website,fortune,rolling stone,chain,golf course,dougie,mashed potato,macarena,monkee,beatle,,,,
23,heath,hammer,bounty,sum,switch,genesis,milky way,anvil,wii,stirrup,u,crunch,blink,maroon,cochlea,dreamcast,,,,
24,mousse,cheesecake,fudge,tiramisu,pencil,heck,shoot,darn,narwhal,elephant,warthog,hippo,,,,,,,,
25,poland,denmark,portugal,greece,petty,mild,mimic,echo,cruise,parrot,waits,mix,dill,livid,holland,copy,,,,
26,fedora,page,beret,fez,pot,liver,kidney,lung,spine,rabbit,bowler,ass,knife,jacket,heart,cover,,,,
27,grumpy,tiff,bashful,mango,ostrich,emu,penguin,zip,pdf,doc,gif,pineapple,banana,coconut,kiwi,mango,,,,
28,moth,skate,fly,wasp,copy,multiply,divide,subtract,tang,sole,lap,alley,cool,tetra,add,gnat,,,,
29,packer,shoulder,bronco,oklahoma,shell,elbow,raven,hip,spiral,wrist,them,cowboy,airplane,mother,knee,bowtie,,,,
30,pepper,phone,tomato,mobile,cucumber,pyramid,cube,sphere,polish,eggplant,pod,job,lima,pad,cone,mac,,,,
31,sole,heel,duckie,lace,ryan,sorry,risk,bond,tongue,trouble,smart,soul,cement,hunt,clue,band,,,,
32,tug,ferry,yacht,sub,round,cuban,flank,loin,rob,sue,chuck,josh,melt,cuban,shank,junk,,,,
33,fragrance,aroma,scent,funk,scissors,paper,jack,boar,country,rock,blues,soul,bull,buck,shoot,boar,,,,
34,penny,nickel,dime,quarter,moon,rainbow,clover,neck,tin,lead,horseshoe,iron,so,again,half,zinc,,,,
35,wallaby,kangaroo,mole rat,wombat,paper,mars,crunch,dough,truth,eye,gun,cheddar,mounds,stacks,koala,chunky,,,,
36,otter,peddle,dolphin,seal,saddle,chain,spoke,vend,hawk,tong,chin,cub,move,brake,manatee,hurt,,,,
37,maple,ash,cedar,elm,plain,plateau,mountain,valley,jump,poppy,sesame,fear,onion,hill,jewel,hurts,,,,
38,clock,watch,second,hourglass,newton,bob,evil,j,pixie,mole,pepper,crop,no,shag,hertz,return,,,,
39,flute,bassoon,oboe,clarinet,wayfarer,hooded,aviator,monk,lid,cover,top,wraparound,harp,harbor,cat eye,cap,,,,
40,fiji,malta,dasani,sam,joe,java,voss,cuba,mud,palau,tony,evian,lucky,pop,japan,brew,,,,
41,snorkel,race,fins,jungle,house,tank,bolt,mask,hyphen,comma,period,colon,race,sprint,fat,dash,,,,
42,irate,furious,livid,incensed,pelican,canary,gull,booby,school bus,sunflower,banana,beastie,hardy,lost,beach,pelican,,,,
43,plasma,gas,liquid,stale,cut,crush,undo,trash,shellac,paste,slate,rout,least,tesla,copy,om,,,,
44,plane,sonic,boat,sabbath,sun,magic,train,checkers,thunder,subway,stripes,car,day,floyd,outback,king,,,,
45,philadelphia,chicago,manhattan,rio,glamour,elle,allure,cosmopolitan,squall,blizzard,hurricane,cyclone,,,,,,,,
46,grassland,tree,desert,go,iguana,gecko,tundra,cobra,monitor,warrior,nae,forest,can,cha,lotus,chameleon,,,,
47,linen,rib,corduroy,scar,specter,phantom,tweed,needle,tease,stitch,denim,beast,genie,poke,ghost,spirit,,,,
48,mother,aunt,cousin,nephew,quirky,kooky,wacky,scrooge,donald,cuckoo,dewey,alarm,biological,daffy,daisy,scrooge,,,,
49,mile,foot,yard,inch,samosa,falafel,katsu,schnitzel,pen,tempera,oil,watercolor,dim,nick,quart, acrylic,,,,
50,grinder,match,blade,tinder,near dark,twilight,west,hoagie,hero,scott,driver,lost boys,hinge,sub,ant,bumble,,,,
51,mouse,keyboard,rat,hamster,organ,speaker,harp,monitor,grouse,carp,gripe,horn,triangle,vole,moan,gerbil,,,,
52,pride,gov,colony,family,high,blazed,swarm,bio,lit,stats,order,herd,class,domain,chem,baked,,,,
53,shrine,temple,altar,abbey,grover,calvin,tom,harry,sylvester,felix,garfield,rocky,silk,reliquary,high,chester,,,,
54,top,puck,blocks,hockey,memory,giggle,eggnog,yo-yo,duncan,leggings,viola,selfie,doll,fish,juliet,baggage,,,,
55,pac,asteroids,pong,swing,tap,pinch,swipe,return,salsa,tango,cent,hustle,frogger,savage,chainz,breakout,,,,
56,romance,lie,horror,kiss,plaid,paisley,western,fib,tale,whopper,musical,dot,goober,fiction,houndstooth,stripes,,,,
57,spider,mite,tick,black widow,flash,shark,storm,blade,perch,eel,cribs,catfish,jackass,state,char,scorpion,,,,
58,several,few,pair,some,post,moon,comet,globe,planet,sun,plumb,handful,lyme,mellon,journal,asteroid,,,,
59,saw,field,charm,ring,please,purge,scream,delight,brooch,pendant,anklet,bangle,diamond,tickle,court,field,,,,
60,hawking,einstein,oppenheimer,feynman,crikey,selling,mate,west,genius,flair,gift,match,barbie,bush,faculty,moot,,,,
61,me,la,fa,pa,co,na,mu,ti,pi,xi,ni,ma,he,nu,do,fe,,,,
62,snap,curl,squat,press,plank,button,lunge,jack,buckle,obvious,nada,zip,crunch,kangaroo,hurts,om,,,,
63,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,
65,millennium,century,decade,year,munch,pancake,omelet,bacon,waffle,whistler,rose,egg,juror,close,cereal,rose,,,,
66,,,,,,,,,,,,,,,,,,,,
67,pint,cup,quart,gallon,sterling,pound,super,quite,coffee,real,awful,won,sponge,carrot,rand,very,,,,
68,mate,slide,pal,clog,bud,mary jane,skillet,pot,wedge,weed,grass,herb,chum,pump,crock,wok,,,,
69,sleeping bag,tent,camper,lantern,small,medium,minute,hour,cooler,meal,diss,jab,,,,,,,,
70,arizona,colorado,kansas,utah,genesis,hawk,rush,soprano,mug,nevada,sprite,squirt,crush,montana,stark,yes,,,,
71,singer,actor,stand-up,card,heart,love,vixen,rose,dasher,cupid,boys,lieutenant,chocolate,hurts,jewel,om,,,,
72,mustache,beard,shadow,stubble,pedal,handlebar,wheel,track,dog,vote,follow,doubt,movie,gear,goatee,tail,,,,
73,mastodon,outfit,misses,flops,dodo,smooch,trilobite,duds,turkeys,threads,x,mammoth,peck,smack,getup,busts,,,,
74,party,bash,shindig,blowout,whale,island,range,bunny,mixer,sink,woodcarver,puppet,cricket,egg,counter,sunday,,,,
75,taboo,nike,risk,killer,opinion,national,trouble,atlas,style,paris,notorious,sorry,foxy,gucci,hermes,business,,,,
