,group1_members1,group1_members2,group1_members3,group1_members4,group2_members1,group2_members2,group2_members3,group2_members4,group3_members1,group3_members2,group3_members3,group3_members4,group4_members1,group4_members2,group4_members3,group4_members4
0,sleet,hail,snow,rain,shift,mom,option,racecar,jazz,heat,nets,kayak,level,return,bucks,tab
1,pump,boot,sneaker,loafer,time,mile,league,yard,sea,us,why,are,people,queue,foot,essence
2,mouth,cheek,nose,eye,pit,stooge,lab,wolf,scarf,gobble,pom,tenor,amigo,king,peke,chow
3,puma,adidas,nike,cats,sweep,vacuum,mop,dust,carousel,cabaret,super,chicago,spider,bat,reebok,iron
4,peacock,plum,scarlet,green,glum,mayo,netflix,down,hulu,relish,tartar,low,blue,mustard,ketchup,up
5,go,boardwalk,royal,midnight,ice cube,powder,q-tip,sin,sister,jail,chance,future,common,sea,baby,wonder
6,shin,ankle,thigh,knee,john,joey,kid,can,silver,cub,throne,star,cray,jelly,head,calf
7,chess,queen,king,checkers,ruby,go,cherry,twin,locksmith,stop sign,fire truck,full,cryptography,florida,cherry,queen
8,polo,tank,halter,tee,corn,squash,beet,onion,cricket,fencing,ant,beetle,mantis,termite,carrot,cami
9,lemon,orange,kiwi,grapefruit,jordan,georgia,turkey,chad,scales,crane,fish,goat,togo,swallow,twins,jay
10,coriander,bird,cardamom,posh,sugar,honey,cumin,airplane,sweetie,pegasus,scary,baby,clove,ginger,angel,boo
11,pod,flock,school,pack,snail,loris,sloth,cot,sin,lust,pride,envy,tortoise,tan,sec,cot
12,united,frontier,new,delta,gnocchi,chi,gnome,nu,virgin,gnat,iota,beta,knew,spirit,gnu,gnaw
13,murphy,bunk,pilot,mario,warner,marx,jonas,sonic,passport,trundle,accord,civic,crash,canopy,link,wright
14,cluck,caw,chirp,tweet,silver,turquoise,pink,violet,rod,tackle,hook,reel,jones,lure,sparrow,brown
15,espresso,americano,latte,cappuccino,kelly,fox,walnut,olive,pecan,cashew,almond,peanut,clean,forest,emerald,bean
16,scarf,ascot,tie,love,starboard,port,stern,tide,bolo,acute,bermuda,era,all,right,bow,gain
17,quad,ribbon,trophy,medal,howser,lat,brown,grey,commander,pec,bear,bill,house,cup,tri,quinn
18,ivory,cream,eggshell,poultry,mirror,tiff,row,quarrel,garlic,pork,beef,venison,spat,stake,crucifix,vanilla
19,rye,howard,barley,lee,king,earl,prince,brown,rice,stone,oat,bong,ford,duke,baron,lee
20,punk,jo,jazz,kim,opera,edge,rap,amy,safari,meg,wayne,pop,baby,jon,beth,chrome
21,husky,boxer,poodle,dalmatian,stop,bite,yield,wave,snout,muzzle,trunk,beak,detour,barrier,slow,asleep
22,vogue,beach boy,monkee,fortune,sausage,mashed potato,macarena,twist,byrd,website,rolling stone,beatle,chain,golf course,dougie,wired
23,heath,hammer,anvil,wii,bounty,sum,u,crunch,genesis,milky way,wii,cochlea,switch,stirrup,blink,dreamcast
24,mousse,cheesecake,fudge,tiramisu,pencil,heck,shoot,darn,narwhal,elephant,warthog,hippo,handlebar,horseshoe,walrus,flan
25,poland,denmark,portugal,holland,petty,mimic,echo,parrot,mild,cruise,waits,mix,dill,livid,copy,greece
26,fedora,fez,cover,jacket,liver,kidney,lung,spine,rabbit,ass,knife,jacket,,,,
27,grumpy,bashful,tiff,happy,ostrich,emu,penguin,zip,mango,pineapple,banana,coconut,doc,gif,kiwi,pdf
28,moth,skate,fly,wasp,copy,multiply,divide,subtract,sole,lap,gnat,alley,cool,tetra,add,tang
29,packer,shoulder,elbow,hip,bronco,oklahoma,raven,cowboy,shell,spiral,wrist,knee,them,mother,bowtie,airplane
30,pepper,phone,mobile,mac,pyramid,cube,sphere,pod,tomato,eggplant,lima,polish,return,job,pad,cone
31,sole,heel,duckie,lace,ryan,sorry,risk,trouble,tongue,bond,soul,hunt,cement,band,clue,smart
32,tug,ferry,yacht,sub,round,cuban,flank,loin,rob,shank,sue,chuck,josh,junk,club,return
33,fragrance,aroma,scent,funk,scissors,paper,jack,boar,bull,buck,boar,rock,country,soul,shoot,blues
34,penny,dime,quarter,nickel,moon,neck,rainbow,horseshoe,tin,lead,zinc,iron,clover,so,again,half
35,wallaby,kangaroo,mole rat,koala,paper,crunch,stacks,dough,mars,mounds,truth,eye,gun,cheddar,chunky,dough
36,otter,dolphin,seal,hawk,peddle,saddle,chain,spoke,malt,vend,tong,chin,cub,move,brake,manatee
37,maple,ash,pine,elm,plain,plateau,mountain,valley,jump,sesame,fear,onion,everything,cedar,poppy,hill
38,sundial,newton,clock,watch,pixie,crop,shag,bob,hertz,second,hourglass,pepper,no,evil,j,mole
39,flute,bassoon,oboe,clarinet,wayfarer,hooded,aviator,monk,lid,cover,top,wraparound,harp,harbor,cat eye,cap
40,fiji,malta,cuba,sam,java,evian,pop,lucky,dasani,voss,mud,tony,joe,palau,japan,brew
41,snorkel,fins,mask,jungle,race,sprint,dash,fat,house,tank,bolt,period,comma,colon,doja,snorkel
42,irate,furious,livid,incensed,pelican,canary,booby,gull,hardy,school bus,beach,beastie,sunflower,banana,lost,incensed
43,plasma,gas,liquid,solid,shellac,paste,cut,crush,stale,undo,trash,least,tesla,slate,rout,copy
44,plane,boat,train,subway,sonic,sun,thunder,floyd,sabbath,magic,checkers,king,car,stripes,outback,day
45,philadelphia,chicago,manhattan,rio,squall,blizzard,tornado,hurricane,glamour,elle,allure,cosmopolitan,screwdriver,munich,cyclone,w
46,grassland,tree,desert,go,iguana,gecko,cobra,monitor,warrior,nae,forest,can,cha,lotus,chameleon,grassland
47,linen,rib,corduroy,tweed,scar,specter,phantom,spirit,needle,tease,stitch,denim,,,,
48,mother,aunt,cousin,nephew,quirky,kooky,wacky,daffy,donald,scrooge,grandfather,,,,,
49,mile,foot,yard,inch,samosa,falafel,schnitzel,katsu,pen,tempera,oil,watercolor,dim,nick,quart,acrylic
50,grinder,blade,scott,hero,match,tinder,west,twilight,hinge,sub,hoagie,ant,bumble,lost boys,driver,near dark
51,mouse,keyboard,rat,hamster,organ,speaker,harp,monitor,grouse,vole,carp,gerbil,moan,gripe,horn,triangle
52,pride,family,colony,high,blazed,swarm,herd,order,bio,lit,stats,class,domain,chem,baked,gov
53,shrine,altar,temple,abbey,rocky,sylvester,calvin,tom,garfield,harry,chester,felix,silk,reliquary,high,return
54,top,puck,hockey,yo-yo,blocks,memory,leggings,doll,giggle,eggnog,duncan,fish,selfie,baggage,viola,juliet
55,pac,asteroids,pong,breakout,salsa,tango,swing,pinch,return,cent,chainz,hustle,swipe,tap,savage,spread
56,romance,kiss,western,tale,plaid,paisley,stripes,houndstooth,lie,fib,whopper,goober,fiction,musical,dot,tale
57,spider,mite,tick,black widow,flash,shark,storm,blade,perch,eel,catfish,cribs,jackass,state,scorpion,char
58,several,few,pair,some,moon,comet,globe,planet,sun,plumb,handful,lyme,journal,asteroid,mellon,asteroid
59,saw,pendant,ring,anklet,brooch,charm,diamond,bangle,field,delight,court,scream,please,purge,tickle,rink
60,hawking,einstein,oppenheimer,feynman,barbie,gift,mate,match,crikey,flair,bush,faculty,selling,genius,moot,west
61,me,la,pa,nu,pi,co,ma,fe,na,fa,ti,he,xi,ni,do,mu
62,snap,plank,buckle,zip,obvious,nothing,nada,zip,squat,press,lunge,crunch,planet,button,kangaroo,jack
63,rover,fido,chum,rex,shirt,fly,bone,lucky,observe,notice,see,catch,bait,sinker,storm,spot
64,plasma,fire,gas,air,tree,steam,vigor,earth,solid,liquid,water,juice,wedding,circus,saturn,earth
65,millennium,century,decade,year,pancake,omelet,bacon,waffle,whistler,rose,juror,close,cereal,egg,munch,month
66,pie,cake,tart,cobbler,miller,mason,smith,doctor,one,twist,root,dance,fudge,distort,meal,fisher
67,pint,cup,quart,gallon,sterling,pound,real,awful,quite,very,won,rand,carrot,coffee,sponge,super
68,mate,slide,pal,chum,bud,mary jane,weed,grass,skillet,pot,wok,clog,wedge,herb,pump,crock
69,sleeping bag,tent,meal,camper,small,medium,large,wee,cooler,jab,lantern,slight,diss,dig,hour,barb
70,nevada,arizona,utah,colorado,rush,soprano,sprite,squirt,mug,hawk,stark,crush,genesis,kansas,montana,yes
71,singer,actor,stand-up,dancer,heart,cupid,rose,vixen,santa,dasher,boys,lieutenant,card,taste,chocolate,comet
72,mustache,beard,shadow,stubble,pedal,handlebar,wheel,track,dog,vote,follow,doubt,movie,gear,return,goatee
73,mastodon,outfit,duds,flops,misses,trilobite,turkeys,threads,smack,peck,getup,busts,dodo,smooch,mammoth,x
74,party,bash,shindig,blowout,whale,island,range,woodcarver,mixer,sink,puppet,counter,bunny,egg,cricket,sunday
75,taboo,nike,risk,killer,opinion,national,trouble,atlas,style,paris,notorious,sorry,foxy,gucci,hermes,business
76,tender,breast,wing,eagle,snare,hole,cymbal,tom,swimming,stroke,kick,driver,infant,pub,ticker,drumstick
77,heaven,bliss,paradise,cloud nine,shake,hustle,fast one,high five,racket,wave,bucket,guest,return,wish,hug,con
78,run,onyx,raven,fox,cyber,ibex,ash,black,book,split,bounce,fat,lynx,ebony,jet,oryx
79,slide,swing,seesaw,times,eye,ankh,scarab,crook,sandbox,pull,weight,courier,papyrus,sway,clout,impact
80,popper,nick,wing,chip,flap,right,correct,yes,lumber,nacho,apple,cracker,ding,bingo,scratch,return
81,tumbler,coffee,goblet,olds,oboe,flute,saxophone,bishop,pound,fricassee,snifter,frost,balloon,bassoon,clarinet,stein
82,nude,sack,bare,unclad,muffin,danish,turnover,snap,polish,buff,clip,punt,bun,fumble,naked,return
83,hen,cow,mare,ewe,m,yew,it,u,they,we,you,doe,d,v,l,i
84,easel,brush,palette,canvas,saw,park,lawn,gear,high,neutral,reverse,first,folding,comb,zipper,drive
85,chart,diagram,graph,map,icing,gravy,pie,extra,return,montero,bonus,perk,stuffing,turkey,satisfaction,istanbul
86,gnome,troll,ogre,rabbit,petal,leaf,stalk,bud,agent,spy,tiger,goblin,mole,horse,dragon,goblin
87,rocky,sally,max,roger,horror,rabbit,show,fury,harry,who,when,road,picture,framed,met,mad
88,spirit,essence,soul,heart,coco,sake,port,stout,brave,ticker,up,demo,red,cars,cider,scotch
89,safe,ball,walk,colonel,flounder,carp,salmon,catfish,kiln,furnace,oven,forge,strike,smelt,yolk,out
90,jaguar,lion,capybara,anaconda,hair,foot,bottom,legs,company,foundation,rent,change,cucumber,grease,base,foot
91,pumpkin,bell,bat,2001,firefly,bones,tombstone,7,weeds,cherry,"20,000",cobweb,bar,22,451,24
92,coffee,chai,tea,cocoa,meow,cluck,bark,oink,root,scoop,trunk,branch,skinny,dirt,dish,buzz
93,leave,peon,get out,scram,nepo,us,them,you,pone,santa,go,beanie,fur,open,me,nope
94,pupil,iris,retina,lens,over,phony,sham,bogus,michelle,roger,stan,alejandro,copy,fake,lola,out
95,goat,buffalo,sheep,cow,rings,excel,glow,shine,radiate,floor,vault,seedy,cutie,envy,horse,beam
96,witch,giant,wolf,queen,pigpen,gambit,mate,charlie,rock 'n roll,woodstock,new york,peppermint patty,bishop,princess,lucy,you
97,grape,apricot,lime,berry,lavish,opulent,swank,deluxe,naive,unwell,envious,fresh,stone,fig,foster,luxury
98,quick,bright,sharp,clever,outlaw,cowboy,sheriff,drifter,southwest,frontier,alaska,mars,rogers,spirit,lasso,smart
99,tab,relation,bookmark,window,cuff,collar,pocket,tie,bond,history,dozen,joke,link,button,martini,laundry
