,group1_name,group1_members1,group1_members2,group1_members3,group1_members4,group2_name,group2_members1,group2_members2,group2_members3,group2_members4,group3_name,group3_members1,group3_members2,group3_members3,group3_members4,group4_name,group4_members1,group4_members2,group4_members3,group4_members4
0,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,
6,,shin,thigh,knee,calf,,john,joey,kid,can,,silver,cub,star,throne,,,,,
7,,chess,queen,king,checkers,,ruby,fire truck,cryptography,stop sign,,backgammon,go,cherry,twin,,locksmith,piano,florida,full
8,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,
10,,cardamom,clove,cumin,ginger,,baby,angel,boo,sweetie,,airplane,bird,pegasus,sugar,,coriander,cardamom,pegasus,honey
11,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,
13,,mario,warner,sonic,jonas,,murphy,passport,bunk,trundle,,accond,mario,pilot,canopy,,crash,link,civic,wright
14,,cluck,caw,tweet,chirp,,rod,silver,turquoise,pink,,jones,hook,reel,brown,,lure,tackle,sparrow,chick
15,,coffee,latte,cappuccino,americano,,kelly,fox,walnut,olive,,bean,pecan,cashew,almond,,clean,forest,return,lookup
16,,,,,,,,,,,,,,,,,,,,
17,,quad,howser,lat,bill,,brown,ribbon,medal,trophy,,quinn,commander,pec,bear,,house,cup,grey,bill
18,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,
21,,husky,boxer,poodle,dalmatian,,stop,bite,yield,wave,,snout,muzzle,trunk,,,,,,
22,,vogue,byrd,rolling stone,beach boy,,twist,sausage,fortune,website,,golf course,macarena,beatle,chain,,mashed potato,wiring,dougie,monkee
23,,fancy,love,relish,savor,,like,literally,um,well,,cylinder,pin,spring,tumbler,,carrot,hurts,jewel,om
24,,,,,,,,,,,,,,,,,,,,
25,,poland,denmark,portugal,greece,,petty,mild,mimic,echo,,cruise,parrot,waits,mix,,dill,livid,holland,copy
26,,fedora,fez,beret,hat,,page,cover,jacket,pot,,liver,kidney,lung,spine,,rabbit,ass,knife,jacket
27,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,
29,,shoulder,elbow,wrist,hip,,raven,shell,airplane,oklahoma,,packer,cowboy,bowtie,sprial,,bronco,mother,knee,them
30,,,,,,,,,,,,,,,,,,,,
31,,sole,ryan,heel,duckie,,sorry,risk,tongue,bond,,lace,band,cement,hunt,,clue,trouble,smart,soul
32,,,,,,,,,,,,,,,,,,,,
33,,fragrance,aroma,scent,bouquet,,scissors,paper,jack,boar,,funk,country,rock,blues,,bull,buck,shoot,soul
