,group1_members1,group1_members2,group1_members3,group1_members4,group2_members1,group2_members2,group2_members3,group2_members4,group3_members1,group3_members2,group3_members3,group3_members4,group4_members1,group4_members2,group4_members3,group4_members4,group1_name,group2_name,group3_name,group4_name
0,"['sleet', 'hail', 'snow', 'rain']","['shift', 'option', 'nets', 'tab']","['mom', 'racecar', 'kayak', 'bucks']","['jazz', 'heat', 'level', 'return']",,,,,,,,,,,,,,,,
1,pump,boot,sneaker,loafer,time,mile,league,yard,sea,us,people,queue,essence,foot,are,why,,,,
2,mouth,cheek,nose,gobble,pit,stooge,lab,wolf,scarf,pom,tenor,amigo,king,peke,chow,eye,,,,
3,puma,adidas,nike,cats,sweep,vacuum,mop,dust,carousel,cabaret,super,chicago,spider,bat,reebok,iron,,,,
4,"['peacock', 'plum', 'hulu', 'prime']","['glum', 'ketchup', 'mustard', 'mayo']","['scarlet', 'blue', 'green', 'netflix']",['re'],,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,
6,shin,joey,cub,thigh,john,can,kid,throne,silver,knee,cray,jelly,ankle,calf,head,star,,,,
7,"['chess', 'queen', 'king', 'checkers']","['ruby', 'go', 'cherry', 'twin']","['backgammon', 'locksmith', 'stop sign', 'piano']","['cryptography', 'florida', 'fire truck', 'full']",,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,
9,lemon,orange,kiwi,grape,jordan,georgia,turkey,chad,crane,fish,goat,jay,swallow,togo,twins,scales,,,,
10,"['coriander', 'posh', 'honey', 'cumin']","['bird', 'angel', 'sweetie', 'baby']","['cardamom', 'clove', 'ginger', 'pegasus']","['airplane', 'scary', 'boo', 'sugar']",,,,,,,,,,,,,,,,
11,pod,flock,school,pack,snail,loris,sloth,cot,sin,lust,pride,envy,greed,tortoise,tan,sec,,,,
12,united,frontier,new,delta,gnocchi,chi,gnome,iota,detect, knew,nu,spirit,gnat,gnaw,gnu,beta,,,,
13,murphy,passport,bunk,mario,warner,marx,trundle,accord,wright,pilot,sonic,canopy,crash,link,civic,jonas,,,,
14,cluck,caw,sparrow,chirp,rod,silver,turquoise,pink,tweet,lure,tackle,jones,hook,reel,brown,purple,,,,
15,espresso,kelly,americano,latte,pecan,cashew,walnut,olive,fox,emerald,peanut,bean,clean,forest,almond,pecan,,,,
16,scarf,ascot,tie, bolo,gain,love,starboard,port,tide,stern,right,era,bermuda,bow,acute,all,,,,
17,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,
19,rye,howard,barley,lee,king,earl,spelt,brown,prince,rice,stone,oat,bong,ford,duke,baron,,,,
20,jon,kim,jo,wayne,edge,bros,amy,pop,beth,safari,meg,jon,punk,baby,jo,wayne,,,,
21,husky,boxer,poodle,dalmatian,stop,bite,yield,wave,snout,muzzle,trunk,beak,detour,barrier,slow,asleep,,,,
22,,,,,,,,,,,,,,,,,,,,
23,heath,sum,switch,anvil,hammer,bounty,wii,crunch,genesis,milky way,stirrup,blink,maroon,cochlea,dreamcast,u,,,,
