,group1_members1,group1_members2,group1_members3,group1_members4,group2_members1,group2_members2,group2_members3,group2_members4,group3_members1,group3_members2,group3_members3,group3_members4,group4_members1,group4_members2,group4_members3,group4_members4,group1_name,group2_name,group3_name,group4_name
0,"['sleet', 'hail', 'snow', 'rain']","['shift', 'racecar', 'kayak', 'nets']","['mom', 'jazz', 'option', 'bucks']",['heat'],,,,,,,,,,,,,,,,
1,us,foot,mile,league,water,boot,sea,yard,time,queue,people, why,skate,mister,pump,essence,,,,
2,mouth,nose,cheek,lip,stooge,amigo,king,pom,sculf,gobble,lab,eye,wolf,peke,chow,tenor,,,,
3,,,,,,,,,,,,,,,,,,,,
4,peacock,plum,green,scarlet,glum,low,down,blue,hulu,netflix,prime,Hulu,relish,mayo,tartar,ketchup,,,,
5,go,boardwalk,jail,sea,powder,royal,q-tip,sin,chance,common,future,wonder,go,ice cube,sister,baby,,,,
6,"['shin', ' ankle', 'thigh', 'knee']","['john', 'joey', 'cub', 'kid']","['silver', 'Can', 'throne', 'star']","['cray', 'jelly', 'head', 'calf']",,,,,,,,,,,,,,,,
7,queen,king,chess,backgammon,cherry,twin,go,ruby,locksmith,checkers,cryptography,fire truck,full,stop sign,piano,florida,,,,
8,polo,carrot,tank,helmet,corn,squash,beet,onion,cricket,fencing,ant,beetle,mantis,termite,oni,cami,,,,
9,,,,,,,,,,,,,,,,,,,,
10,bird,sweetie,angel,boo,coriander,cardamom,cumin,clove,posh,honey,ginger,sugar,airplane,baby,pegasus,scary,,,,
11,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,
13,murphy,mario,sonic,jonas,passport,trundle,accord,pilot,bunk,warner,crash,civic,marx,canopy,link,wright,,,,
14,,,,,,,,,,,,,,,,,,,,
15,espresso,americano,latte,cappuccino,pecan,cashew,walnut,almond,fox,olive,emerald,bean,clean,forest,peanut,kelly,,,,
16,scarf,ascot,tie, bolo,gain,love,tide,era,starboard,port,stern,bow,acute,bermuda,right,all,,,,
17,quad,ribbon,trophy,medal,brown,grey,quinn,pec,lat,house,bill,bear,howser,tri,commander,cup,,,,
18,ivory,cream,eggshell,pork,mirror,spat,row,tiff,garlic,beef,venison,pork,crucifix,quarrel,poultry,stake,,,,
19,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,
21,husky,boxer,poodle,dalmatian,stop,bite,yield,wave,snout,muzzle,trunk,beak,detour,barrier,slow,asleep,,,,
22,byrd,vogue,beach boy,fortune,sausage,mashed potato,macarena,twist,monkee,green,beatle,rolling stone,chained,wired,website,dougie,,,,
23,heath,switch,wii,genesis,hammer,anvil,crunch,blink,bounty,sum,u,maroon,stirrup,cochlea,dreamcast,milky way,,,,
24,pencil,cheesecake,fudge,tiramisu,elephant,warthog,hippo,horseshoe,heck,darn,return,shoot,mousse,walrus,flan,handlebar,,,,
25,,,,,,,,,,,,,,,,,,,,
26,fedora,page,beret,fez,pot,liver,kidney,lung,spine,rabbit,bowler,ass,knife,jacket,heart,cover,,,,
27,"['grumpy', 'tiff', 'bashful', 'emu']","['mango', 'pineapple', 'banana', 'coconut']","['pdf', 'doc', 'zip', 'gif']","['ostrich', 'penguin', 'kiwi', 'happy']",,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,
29,packer,shoulder,elbow,hip,bronco,raven,spiral,cowboy,oklahoma,shell,knee,them,airplane,bowtie,mother,wrist,,,,
30,,,,,,,,,,,,,,,,,,,,
31,sole,heel,duckie,lace,ryan,sorry,risk,bond,tongue,trouble,smart,soul,band,cement,hunt,clue,,,,
32,tug,ferry,yacht,sub,round,cuban,flank,loin,rob,shank,sue,chuck,tug,melt,josh,junk,,,,
33,,,,,,,,,,,,,,,,,,,,
34,penny,nickel,dime,quarter,moon,neck,horseshoe,rainbow,tin,lead,zinc,iron,clover,so,again,half,,,,
35,wallaby,kangaroo,mole rat,koala,paper,crunch,stacks,mounds,cheddar,dough,eye,gun,mars,truth, inmates,chunky,,,,
36,otter,seal,hawk,manatee,peddle,chain,spoke,vend,saddle,crossed,move,brake,malt,tong,cub,chin,,,,
37,maple,ash,pine,cedar,plain,plateau,mountain,valley,jump,poppy,sesame,fear,onion,elm,hill,everything,,,,
38,,,,,,,,,,,,,,,,,,,,
39,flute,wayfarer,bassoon,hooded,lid,cover,oboe,aviator,top,wraparound,monk,harbor,harp,cat eye,cap,clarinet,,,,
40,,,,,,,,,,,,,,,,,,,,
41,snorkel,fins,mask,jungle,race,sprint,dash,fat,house,comma,period,colon,bolt,tank,doja,house,,,,
42,irate,furious,livid,incensed,pelican,puffin,gull,booby,sunflower,banana,beach,beastie,hardy,lost,school bus,canary,,,,
