,group1_members1,group1_members2,group1_members3,group1_members4,group2_members1,group2_members2,group2_members3,group2_members4,group3_members1,group3_members2,group3_members3,group3_members4,group4_members1,group4_members2,group4_members3,group4_members4,group1_name,group2_name,group3_name,group4_name
0,sleet,hail,snow,rain,shift,option,racecar,level,mom,jazz,nets,bucks,heat,tab,kayak,return,,,,
1,pump,boot,sneaker,loafer,time,mile,league,yard,sea,us,why,are,people,queue,foot,essence,,,,
2,mouth,pit,cheek,stooge,scarf,gobble,nose,lab,wolf,pom,tenor,amigo,king,peke,chow,eye,,,,
3,puma,adidas,nike,super,sweep,dust,vacuum,mop,cats,spider,bat,chicago,carousel,cabaret,reebok,iron,,,,
4,peacock,plum,scarlet,green,glum,low,down,blue,hulu,netflix,prime,ketchup,relish,mayo,tartar,mustard,,,,
5,go,boardwalk,royal,sea,ice cube,powder,q-tip,sin,sister,jail,chance,future,midnight,common,baby,wonder,,,,
6,shin,thigh,knee,calf,john,joey,kid,can,silver,cub,star,cray,ankle,head,jelly,throne,,,,
7,chess,queen,king,checkers,ruby,go,cherry,twin,locksmith,stop sign,piano,cryptography,backgammon,florida,fire truck,full,,,,
8,polo,tank,halter,tee,corn,squash,beet,onion,cricket,fencing,ant,beetle,mantis,termite,carrot,cami,,,,
9,lemon,orange,kiwi,grapefruit,jordan,georgia,turkey,chad,scales,fish,goat,jay,togo,swallow,twins,crane,,,,
10,coriander,cardamom,cumin,sugar,bird,airplane,sweetie,pegasus,posh,honey,baby,ginger,scary,angel,boo,clove,,,,
11,pod,flock,school,pack,snail,loris,sloth,cot,sin,lust,pride,envy,tortoise,tan,sec,cot,,,,
12,united,frontier,new,delta,gnocchi,chi,gnome,nu,virgin,iota,gnu,knew,gnat,gnaw,beta,spirit,,,,
13,murphy,mario,warner,jonas,passport,bunk,pilot,trundle,accord,marx,sonic,crash,civic,canopy,link,wright,,,,
14,cluck,caw,chirp,tweet,rod,reel,hook,tackle,silver,turquoise,pink,violet,jones,lure,sparrow,brown,,,,
15,espresso,americano,latte,cappuccino,kelly,pecan,cashew,walnut,fox,olive,peanut,bean,clean,forest,emerald,almond,,,,
16,scarf,ascot,tie,love,starboard,port,stern,tide,bolo,acute,bermuda,era,all,right,bow,gain,,,,
17,quad,ribbon,trophy,medal,howser,lat,grey,quinn,brown,commander,pec,bear,bill,house,cup,tri,,,,
18,ivory,cream,eggsshell,pork,poultry,eggshell,venison,beef,spat,mirror,row,quarrel,garlic,vanilla,crucifix,stake,,,,
19,rye,howard,barley,lee,king,earl,spelt,brown,prince,rice,stone,oat,bong,ford,duke,baron,,,,
20,punk,jo,jazz,kim,opera,edge,rap,amy,safari,meg,wayne,pop,baby,jon,beth,chrome,,,,
21,husky,boxer,poodle,dalmatian,stop,bite,yield,wave,snout,muzzle,trunk,beak,detour,barrier,slow,asleep,,,,
22,byrd,vogue,beach boy,monkee,sausage,mashed potato,macarena,fortune,twist,wired,website,beatle,chain,golf course,rolling stone,dougie,,,,
23,heath,hammer,anvil,switch,bounty,sum,u,crunch,genesis,milky way,wii,dreamcast,blink,maroon,cochlea,stirrup,,,,
24,pencil,cheesecake,walrus,heck,fudge,elephant,horseshoe,warthog,mousse,tiramisu,flan,hippo,narwhal,shoot,handlebar,darn,,,,
25,poland,denmark,portugal,holland,petty,mimic,echo,parrot,mild,cruise,waits,mix,dill,livid,copy,greece,,,,
26,fedora,beret,fez,cover,liver,kidney,lung,spine,rabbit,ass,knife,jacket,page,pot,heart,return,,,,
27,grumpy,bashful,tiff,happy,ostrich,emu,penguin,zip,mango,pineapple,banana,coconut,doc,gif,kiwi,pdf,,,,
28,moth,fly,wasp,gnat,skate,lap,alley,cool,copy,multiply,divide,subtract,tang,sole,tetra,add,,,,
29,packer,shoulder,elbow,hip,bronco,oklahoma,raven,cowboy,shell,spiral,wrist,knee,them,mother,bowtie,airplane,,,,
30,pepper,phone,mobile,mac,pyramid,cube,sphere,pod,tomato,eggplant,lima,polish,return,job,pad,cone,,,,
31,sole,heel,duckie,lace,ryan,sorry,risk,trouble,tongue,bond,soul,hunt,band,cement,clue,lace,,,,
32,tug,ferry,yacht,sub,round,cuban,flank,loin,rob,shank,sue,chuck,melt,josh,junk,club,,,,
33,fragrance,aroma,scent,funk,scissors,paper,jack,boar,bull,buck,boar,rock,country,soul,shoot,blues,,,,
34,penny,dime,quarter,nickel,moon,neck,rainbow,horseshoe,tin,lead,zinc,iron,clover,so,again,half,,,,
35,wallaby,kangaroo,mole rat,koala,paper,crunch,stacks,dough,mars,mounds,truth,eye,gun,cheddar,chunky,dough,,,,
36,otter,dolphin,seal,hawk,peddle,saddle,chain,spoke,malt,vend,tong,chin,cub,move,brake,manatee,,,,
37,maple,ash,pine,elm,plain,plateau,mountain,valley,jump,sesame,fear,onion,everything,cedar,poppy,hill,,,,
38,sundial,clock,watch,hourglass,newton,hertz,second,pepper,pixie,crop,shag,bob,no,evil,j,mole,,,,
39,flute,bassoon,oboe,clarinet,wayfarer,hooded,aviator,monk,lid,cover,top,wraparound,harp,harbor,cat eye,cap,,,,
40,fiji,malta,cuba,sam,java,evian,pop,lucky,dasani,voss,mud,tony,joe,palau,japan,brew,,,,
41,snorkel,fins,tank,mask,race,sprint,dash,fat,house,colon,period,comma,bolt,doja,jungle,mask,,,,
42,irate,furious,livid,incensed,pelican,canary,booby,gull,hardy,school bus,lost,beastie,sunflower,banana,beach,livid,,,,
43,plasma,gas,liquid,solid,shellac,paste,cut,crush,stale,undo,trash,least,tesla,slate,rout,copy,,,,
44,plane,boat,train,subway,sonic,sabbath,thunder,day,magic,checkers,stripes,king,floyd,outback,car,sun,,,,
45,philadelphia,chicago,manhattan,rio,squall,blizzard,hurricane,cyclone,glamour,elle,allure,cosmopolitan,screwdriver,munich,w,tornado,,,,
46,grassland,tree,forest,warrior,desert,go,nae,can,tundra,iguana,gecko,chameleon,cobra,monitor,lotus,cha,,,,
47,linen,rib,corduroy,scar,specter,phantom,spirit,tease,needle,stitch,denim,poke,beast,genie,ghost,specter,,,,
48,mother,aunt,cousin,nephew,donald,quirky,kooky,wacky,dewey,biological,scrooge,grandfather,cuckoo,daisy,alarm,daffy,,,,
